 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.apresentada por Capital e Ano/mês processamento
Procedimento: 0301060029 ATENDIMENTO DE URGENCIA C/ OBSERVACAO ATE 24 HORAS EM ATENCAO ESPECIALIZADA
Período:2018-2024
"Capital";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"Total"
"240810 Natal";29421;23887;45891;59110;26821;22077;44539;26141;18563;39031;18701;17967;11831;46833;21134;16749;53590;40148;52952;13151;50737;108041;86476;43938;28639;30865;56039;17552;22506;19598;21896;34943;23429;24244;37835;29023;34378;23113;25795;32167;14469;34060;50666;24315;30017;42201;15981;28741;42169;28042;35310;26426;27121;54502;26066;25207;29981;13596;17047;29900;22755;7778;22237;34915;26928;23212;53109;35477;36189;18606;53532;40650;25400;32979;16488;61522;44105;48535;38546;49179;26849;20119;39724;27636;2782038
"250750 João Pessoa";18826;15315;17401;15341;11177;18398;16559;16555;14848;15114;17170;16958;17610;16220;16365;17785;20269;18687;16581;16215;17219;17949;16106;16256;16461;16715;15716;10465;10549;11519;13365;15003;14359;14782;14340;15682;18916;14461;16010;14862;18273;18403;17848;19136;18351;17692;16590;14675;17131;17264;11067;11358;12952;13046;12702;14696;12597;10719;20533;13106;12961;19662;19967;20204;16501;22194;23400;24652;31115;25802;28173;25409;39480;37643;39185;21243;22151;25037;21028;22104;21057;18837;18746;14302;1513121
"261160 Recife";30382;28072;30727;31468;29676;29393;28150;28786;25415;27347;24366;25932;27932;26872;26864;27723;26567;31591;28377;25875;26226;25740;25549;26595;25300;22337;19740;14891;14020;18248;20558;20006;21082;22626;21359;21169;22415;20663;22171;22088;28673;25410;16677;24933;26458;26655;26892;28447;29103;24229;26235;26313;27547;31433;29645;29005;29821;33701;34418;32483;28799;35156;39246;39636;50698;49071;50872;51155;57367;64048;65030;60060;65185;58946;69856;71896;72843;64431;67918;69568;63364;72079;66260;63917;2949777
"270430 Maceió";12064;11770;15706;16132;16833;13496;12134;13364;13294;13181;13386;11606;11062;13759;18574;19149;22774;20401;22765;23491;22874;21665;23277;14930;17511;15285;13119;10927;9634;11200;9115;14372;12159;16331;25109;17685;20091;21274;17030;19004;20968;19994;21413;22355;24010;24748;24986;33425;35497;20823;23255;23723;29586;29245;32493;23789;22949;23863;27391;24411;22448;22562;28294;27794;28489;25140;25950;25105;23592;26411;24933;26975;30257;28595;35385;34792;45190;39633;37939;39752;34665;41158;37945;30324;1899785
"280030 Aracaju";14891;13649;15600;17985;17025;13187;12684;14588;18987;23592;23888;23195;4519;8677;23835;28580;22022;16750;20312;20176;28342;20260;17944;16888;18966;17521;17023;9243;12807;20181;13710;13084;20895;18033;19682;10987;11101;19678;22351;20747;29530;12045;34722;24721;26227;26587;22766;39204;36134;27388;39576;40050;38668;38720;25644;22844;37039;41131;44757;34515;38335;34588;30241;41442;41114;36974;40426;42624;41689;41264;41878;41103;42143;41007;45730;48612;47278;38018;43827;42465;36770;44718;40829;46835;2335763
"292740 Salvador";44815;41505;50147;62455;59084;60121;52683;55689;47765;62382;55959;64797;53835;58203;57263;68779;65831;59820;63810;76760;57176;51902;50482;59047;56007;62723;48154;36296;28459;32404;25072;32636;35199;42863;41286;42659;42034;35173;30518;31756;33367;43437;37316;39482;45108;40126;38961;47514;35306;39202;38081;40836;44201;261991;43945;42329;36636;38853;35830;43513;36263;37291;43925;42857;40090;46666;42960;44833;49529;45740;35008;39645;36386;37038;37863;37264;38459;35879;39675;35873;37229;35820;35270;34634;3975780
"310620 Belo Horizonte";61006;50323;52457;63536;59837;43167;51112;49929;48125;53063;55973;51333;50454;49347;52626;63356;62830;54148;50076;57539;43742;54331;71937;65076;58667;60717;63617;57028;29589;35489;39676;38229;40480;44984;46945;54150;42710;45521;38317;39089;32581;34585;35078;33011;34331;33329;35963;40190;45600;34833;35393;41082;45504;36510;53411;53509;47493;53552;49748;45554;49599;44770;49907;49107;48606;47147;49833;46003;43668;45310;46159;38661;48884;54160;63519;58098;53949;45283;45176;51730;46380;47782;45832;45628;4036979
"320530 Vitória";8996;8735;11052;10195;10349;9101;10363;9189;10157;10323;8818;9292;13000;9313;9761;11070;9685;10376;10256;9644;10804;10084;9549;8596;8184;9458;8928;8049;7385;8145;8686;8666;8841;8737;8122;9024;9846;8885;9457;8537;9737;10102;10598;10504;10057;9463;8219;9513;10160;7979;10113;8390;8856;8875;8619;9087;8693;8278;8137;8333;8286;8424;8826;7500;8466;15472;8104;8533;8296;8773;7993;7038;9155;6771;7726;7563;7957;7387;7468;7662;7381;6943;6756;7987;757838
"330455 Rio de Janeiro";51600;35603;35964;65300;70269;55046;82971;63154;69155;69292;64937;27416;60770;40576;64572;77632;68975;61855;41230;36445;56864;56217;53195;51040;50207;45609;44649;40803;31667;37005;47406;57349;63526;48152;48618;49529;50956;40069;46328;42737;46064;41165;54078;57302;56315;58096;73315;66077;64833;54203;68903;56761;49341;69329;65679;54429;71814;68390;88311;91632;93574;86299;115794;108085;113992;95983;89526;91568;98123;99759;108720;98143;97294;113180;110665;110095;110848;116012;104129;113301;119165;126581;125589;131431;5938581
"355030 São Paulo";54886;45549;52661;53798;51313;51585;50464;53236;60891;54712;53771;51566;54596;51483;55781;56030;57361;54859;52172;56088;54379;56434;55233;52340;52340;56091;57786;35313;34166;33316;36502;39818;40878;42451;44485;42484;42867;43387;46006;40723;43405;41574;41084;43213;44565;46481;47023;50049;45842;51183;57486;56384;58855;58745;55263;57786;53438;57094;53168;48767;48985;46160;53544;51921;52193;47884;45307;51978;44972;45471;47101;44964;44223;43328;58472;55745;58115;51330;54027;49592;50053;48049;50639;47153;4182412
