 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.apresentada por Capital e Ano/mês processamento
Procedimento: 0301030146 SAMU 192: ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULACAO DAS URGENCIAS COM ORIENTAC
Período:2018-2024
"Capital";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"Total"
"250750 João Pessoa";444;467;351;474;532;471;495;504;478;552;499;550;543;491;604;555;575;569;499;531;526;555;485;543;540;473;932;1294;1552;992;870;756;607;688;629;790;697;-;1228;929;858;832;667;608;595;634;563;653;701;498;497;475;571;580;549;523;474;399;459;371;373;372;350;328;401;407;409;436;394;408;390;431;363;387;530;394;357;430;376;352;328;302;289;300;45884
"261160 Recife";11277;11134;12908;12908;13314;12187;12018;12209;12826;13210;12162;12651;12151;11693;13591;12710;13280;12829;12996;13661;13681;13622;13080;13718;9628;9362;9493;8891;10669;9545;9618;9909;9602;10230;9994;9896;9637;8940;10680;10800;11598;10645;10240;10428;9888;10566;10274;11101;11193;9334;9905;10014;10256;10486;10833;11085;10726;10919;10576;10785;10730;9829;10952;11355;11119;10731;11278;11206;10861;10830;10789;10999;11034;10924;11820;11160;11336;11265;10930;11335;11529;11620;10342;11449;938985
"270430 Maceió";2235;1961;2209;2207;2150;1870;2116;2200;1830;4837;2716;4199;2023;2467;2824;2834;2436;2260;2420;2808;2686;2668;2985;2820;1925;1894;2356;-;2422;2409;2314;2166;436;587;457;470;619;550;632;589;539;453;378;341;383;392;253;364;322;267;384;357;324;393;325;359;228;207;163;146;196;156;335;377;350;262;214;216;204;4500;222;179;156;191;179;170;127;112;98;124;98;169;138;100;97038
"280030 Aracaju";270;182;3267;367;427;361;285;293;269;-;429;289;305;-;706;386;390;246;282;370;256;233;245;282;221;240;492;550;695;735;717;604;466;473;403;426;382;453;594;551;531;479;384;409;397;344;336;-;1300;361;342;347;350;342;342;237;323;340;384;291;258;259;325;344;313;270;229;251;255;244;216;245;226;254;251;257;236;197;142;144;157;156;141;-;31351
"292740 Salvador";19509;19211;20527;18360;20892;20256;20403;22541;22516;22056;19546;19896;19896;18589;20496;15224;13177;21815;48292;23597;23281;23327;4850;22849;22777;13175;28956;13059;29626;12753;13473;23189;13149;22328;21537;12835;20185;13303;27657;27581;30165;25812;110628;25904;24963;87063;37137;6026;17689;17689;17689;70756;19667;69742;15818;16675;14833;15225;8558;8709;23109;23109;24781;23109;27711;54160;23109;27160;52399;22089;28521;28872;18879;23038;29954;27228;23038;23038;23038;23038;23038;23038;23038;23038;2098969
"310620 Belo Horizonte";8780;8656;10019;9385;9787;8482;8815;8491;8738;8978;8653;9684;8846;8064;10539;10573;11226;9375;9904;9455;9734;9837;9331;9879;15959;10084;12956;9761;5342;9688;10437;8951;8815;9179;9740;10726;10713;8489;12014;10312;10700;9319;9393;8991;9039;9755;10291;11593;13916;9581;10143;9644;9898;10117;10602;9715;9804;9803;9709;9470;8871;8919;10277;9864;9933;9569;9410;9896;10125;10445;11263;11202;10825;13046;1487;11551;10416;10045;9679;9788;10349;10139;9417;10339;826735
"320530 Vitória";10126;8826;10088;9697;10227;9901;9976;9703;9693;10053;10011;10218;10612;9668;10655;10266;10917;10364;10806;10476;10385;10687;10507;10673;10349;9857;4006;13059;13197;11413;10355;10143;10193;10728;10990;10132;11638;8198;13537;13469;-;18175;12743;7038;7131;7545;7625;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;476056
"330455 Rio de Janeiro";-;3108;-;3476;-;4051;-;-;4789;-;-;4323;1325;-;2381;-;-;3788;-;-;3248;-;2255;1160;1082;1111;-;1121;-;38311;30156;11742;8986;15077;15797;16312;-;13562;-;-;-;-;2737;-;-;-;30764;18222;18305;13822;15335;9010;15184;15494;15617;14866;14721;16328;15244;15274;15835;15217;16917;15297;15676;15460;15655;15236;15948;19226;20638;21589;21756;21758;22756;23123;22268;21571;21587;22427;22351;22169;21988;22737;887269
"355030 São Paulo";10336;8302;12047;11071;10803;10361;9279;10650;12039;12111;12128;13541;11534;10802;14320;14085;11376;11418;10281;9436;10820;11172;12098;13130;9482;11347;13046;9675;26118;24484;26356;26661;28353;27116;30365;30365;28351;25880;30996;26441;29964;28898;29818;32342;30582;31169;30582;38188;34994;29097;32546;31215;33481;32458;31906;31718;31169;33766;33481;33481;31530;30542;35204;31826;34364;-;33800;34775;34376;34602;35530;36949;34397;36177;41494;41182;41200;37296;35705;37838;38007;37852;38041;39958;2121676
"410690 Curitiba";1199;979;1440;1412;1470;1349;751;745;800;857;984;1033;1026;962;1213;1364;1522;1559;1588;1720;1496;1626;1517;1564;1429;1523;3233;2332;1602;1732;2292;2109;1960;1799;2230;2230;1976;1909;3326;2602;2622;2711;-;4154;1916;1776;1865;1898;2804;2102;1855;1954;2303;1796;1830;1932;1854;1733;1618;1712;1499;1393;1712;1605;1588;1507;1543;1411;1338;1479;1394;1434;1570;1587;1689;1888;1890;1648;1626;1941;1831;1833;1484;1549;143334
