 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.apresentada por Capital e Ano/mês processamento
Procedimento: 0301060037 ATENDIMENTO DE URGENCIA EM ATENCAO BASICA
Período:2018-2024
"Capital";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"Total"
"250750 João Pessoa";62;6;25;54;42;37;20;3;4;3;2;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;7;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;157;128;185;432;206;183;154;392;827;565;856;422;512;382;574;544;271;155;-;7227
"261160 Recife";1815;1380;1464;2093;1971;1913;1850;1609;1788;1578;1737;1912;1159;1308;1699;1491;1724;1371;1794;1781;1504;1795;1333;1374;1335;938;1078;821;769;792;43;832;686;961;889;897;976;897;1010;1003;1829;1489;1507;1045;1267;913;943;1011;930;727;937;829;865;834;658;790;768;1071;866;952;912;875;1157;1009;887;928;942;1033;1102;955;813;623;762;2601;2194;1250;-;-;-;-;1;-;2;-;91647
"270430 Maceió";324;227;235;225;259;221;160;275;260;227;279;383;336;384;331;274;222;228;219;205;183;185;212;-;-;-;2;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5862
"280030 Aracaju";-;33;14;35;13;29;27;29;18;35;27;-;38;17;11;28;35;-;81;28;21;17;-;-;20;31;10;16;-;-;71;12;-;51;26;-;-;2;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;83;139;96;103;100;72;59;85;58;3;-;-;-;-;-;23;-;7;-;3;5;-;1;25;-;1667
"292740 Salvador";2692;2532;2332;4177;3791;3857;4121;4173;3723;3305;4090;3949;3550;2977;2852;4189;3936;142;4505;273;746;607;863;1106;1384;645;493;762;68;184;478;429;1705;1293;1016;907;169;180;161;121;124;168;116;246;158;244;232;850;1426;1597;1503;1542;1583;1375;1673;1747;85;87;92;1574;121;106;32;135;137;5;426;845;6;977;511;1033;367;62;259;445;167;158;192;65;76;150;45;1059;102284
"310620 Belo Horizonte";393;347;721;778;517;859;393;1032;655;751;523;703;653;718;658;555;508;836;374;841;586;550;528;554;538;532;323;270;251;219;269;152;249;331;386;453;294;222;197;240;32;190;660;14;148;411;85;63;282;70;248;172;201;195;150;83;351;104;182;190;12;8;86;587;1;395;243;97;238;136;6;122;10;213;191;186;138;297;90;110;551;5;6;2;27520
"320530 Vitória";4335;4563;5708;5221;5194;6167;5764;5725;6999;-;5923;5706;10453;5865;5434;6334;5948;6451;6304;6560;6811;6578;6462;6381;5257;7715;8528;7633;8865;9344;9045;9638;1;-;1;1;-;1;-;-;1;-;109;-;1;-;-;2;2;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;207041
"330455 Rio de Janeiro";18480;13498;18954;27923;13135;1725;4908;1027;1143;991;866;391;6927;8106;1021;8515;5364;3616;3990;976;7307;3978;4003;2529;3347;3083;2846;1433;500;2507;2328;2691;2894;3279;119;15;136;146;112;66;2981;2870;170;294;7;1131;257;1023;7432;1028;859;1112;4553;3637;5556;5052;9176;8562;9399;8368;10023;8666;12572;10323;11278;11423;12039;14795;11786;13972;11591;11291;14033;11701;13766;18910;17426;19694;19403;17467;19670;19945;16406;14397;600919
"355030 São Paulo";413253;407593;463067;453426;471217;444234;390920;427453;404260;460352;417006;366730;378720;387543;432447;479334;519596;473999;415279;460643;437876;465714;413226;378300;397837;405818;408584;222879;243142;287208;344637;325118;323725;336933;349114;343217;363168;363473;434860;354858;401982;386257;386721;436983;445149;415677;434964;524081;469509;363576;475081;465865;522041;547645;439633;466204;438778;475211;495733;401724;399633;421444;554481;509336;579683;512345;441037;522882;473320;500900;457287;422407;434812;484040;564374;659033;674880;539285;507357;561137;541268;487114;506117;383881;36997626
"410690 Curitiba";4746;4287;4890;5077;4807;4506;4861;4709;4315;4570;4111;3282;4253;3835;3821;4711;4490;4078;4010;3551;3624;3915;3503;2411;3255;2819;3691;3411;3953;4425;4632;4711;5516;6192;5782;3522;4257;4739;3903;3280;4301;4229;5659;5390;5102;5016;4778;4067;4175;4191;4949;3945;4375;4095;3591;3848;3501;3739;3614;3770;4036;3182;4713;4392;4893;4510;4132;4962;4995;5322;4943;3633;4777;4513;5268;6449;5652;5957;5915;6052;6053;6385;5499;4723;375742
"420540 Florianópolis";1621;1495;1510;1269;1431;1660;1711;1761;1472;1682;1500;1242;1246;1651;1092;1151;866;990;1093;1087;939;1152;972;1249;998;922;654;302;481;929;739;899;911;869;771;790;671;806;766;714;853;889;1120;1080;1059;969;929;1122;732;735;1063;1056;859;948;956;1017;1087;971;999;896;1115;993;1076;973;1055;974;1092;1169;1083;1155;1068;1080;936;829;1021;677;631;963;1361;1465;1444;1579;1472;1583;90198
"431490 Porto Alegre";3497;2748;3133;3416;2207;3571;3562;3757;3291;3877;3366;2605;2819;1747;2771;2874;2903;2774;3179;3101;2849;3066;2749;2194;2486;1894;2741;2075;1776;1617;2002;2173;1961;2660;2840;2616;2269;2079;2741;2431;776;895;799;887;854;950;942;811;807;782;867;732;811;690;794;678;670;670;768;609;565;569;583;617;583;571;534;550;568;584;526;354;178;175;142;153;23;32;76;175;163;171;148;150;132399
"500270 Campo Grande";899;707;826;845;875;662;678;650;710;859;701;587;838;1101;1165;1177;1046;735;840;769;837;800;577;381;368;387;70;53;94;119;126;109;94;88;78;96;118;105;127;141;97;73;92;72;100;69;102;110;88;79;77;83;75;86;100;145;86;123;112;89;138;129;113;133;125;105;138;160;147;145;191;198;178;157;191;212;83;145;93;141;46;49;32;30;26375
"510340 Cuiabá";3165;2939;2720;3166;2138;1461;1718;2885;1736;1458;2199;2007;2223;2270;2130;2466;2725;1486;1439;1707;1562;1312;1082;1435;1318;1554;1141;595;708;689;393;520;835;606;510;496;482;660;324;343;384;319;111;986;688;787;1006;652;469;447;661;663;422;363;32;121;250;414;472;183;60;3;1;1;9;10;251;269;163;573;211;146;206;165;252;241;154;160;108;154;233;264;105;203;73975
"520870 Goiânia";2536;2248;2426;3349;2420;2689;2925;2654;2606;2148;2445;2253;2593;2328;4147;2986;2807;2821;4063;2772;2860;2752;2580;2207;2397;2231;1939;1187;1223;929;1622;814;1064;980;1233;1278;1276;1154;1261;1293;1459;1322;1321;1600;1544;1746;1860;458;652;582;620;685;680;687;590;1304;2001;1580;1664;1179;2139;1832;1798;1440;1663;1482;1173;1428;1052;852;699;912;1253;1047;1078;1413;1330;1534;1552;1317;1170;1788;1994;2413;145389
"530010 Brasília";4970;1927;2985;1875;5161;1856;5;3;5;4;7;1;15;30;5;24;8;5;11;3;107;194;663;163;31;78;20;45;47;59;222;25;42;104;124;75;91;71;106;20;36;46;59;194;169;184;196;112;421;157;191;149;36;21;48;21;65;27;13;56;35;20;55;37;20;24;43;31;16;11;26;17;17;7;15;3;14;7;15;11;34;21;-;-;23867
"Total";598819;560764;550187;638312;627941;584673;515099;559228;515306;584068;529256;463427;516759;526212;474115;537038;565299;514231;471152;506065;482093;516163;455622;412417;441997;441107;446950;252505;269611;316688;374947;359333;347581;363817;371616;359241;383713;383250;455138;374050;427541;414709;1233952;471246;469153;445895;460316;552134;530637;391209;499294;491440;552996;577649;469818;498613;470151;505748;526372;431468;431652;451302;586513;544291;616068;547356;474229;564165;510454;542692;492187;456016;473611;522181;607388;703817;713750;580038;549722;600005;583412;529783;543685;419760;42110208
 Fonte: Ministério da Saúde - Sistema de Informações Ambulatoriais do SUS (SIA/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
