 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.apresentada por Capital e Ano/mês processamento
Procedimento: 0301060045 ATENDIMENTO DE URGENCIA EM ATENCAO PRIMARIA COM OBSERVACAO ATE 8 HORAS
Período:2018-2024
"Capital";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"Total"
"292740 Salvador";11;13;6;9;184;161;171;167;158;1;107;5;160;134;159;1;193;134;198;-;174;-;-;-;131;-;88;56;-;52;77;-;97;126;111;130;121;97;118;123;117;-;150;156;112;149;145;132;132;135;-;194;253;202;225;239;218;218;201;181;416;-;263;236;301;259;272;259;267;233;257;-;230;202;228;225;242;226;270;277;231;284;205;184;12199
"320530 Vitória";216;155;107;97;118;101;80;105;142;-;137;142;225;106;108;98;77;64;59;109;90;75;84;67;52;135;117;118;128;74;59;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3308
"330455 Rio de Janeiro";129;80;109;131;160;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;66;76;-;1;-;4;4;12;15;51;33;31;31;43;30;75;52;56;35;23;66;46;56;49;36;45;55;61;53;52;79;50;59;65;50;46;30;2157
"355030 São Paulo";33310;31576;33123;29030;29082;28412;27132;27816;27305;29039;26527;23762;26126;26880;30055;30593;32814;29251;25995;27381;26071;27711;25098;23207;27071;26286;22581;13868;15555;16967;18910;19653;20666;20403;19484;19171;21111;19980;24052;20382;21411;21136;20294;22948;23271;22087;22425;25046;18089;16946;24884;23235;24145;24750;22176;29052;22088;24534;22377;19450;21282;20533;23234;20771;21353;21011;20107;22764;21589;20176;18888;19055;17873;18485;22343;27527;30408;24095;17760;17646;16376;13549;15467;11964;1938036
"410690 Curitiba";47;38;54;46;31;30;21;45;24;29;36;24;42;32;32;32;40;32;31;28;29;46;25;14;38;16;21;7;10;3;3;4;9;7;10;5;9;9;99;66;38;61;20;47;52;27;28;39;31;55;47;39;62;57;47;80;65;54;39;32;56;34;68;61;35;41;47;48;70;86;37;35;46;56;96;159;201;105;102;111;175;230;163;362;4468
"420540 Florianópolis";40;66;19;38;28;32;9;6;5;7;1;10;1;5;1;1;-;1;1;6;4;1;6;5;2;-;-;-;1;2;-;-;3;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;128;161;107;312;160;145;118;93;98;26;43;19;50;4;9;6;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1785
"431490 Porto Alegre";-;1;-;-;-;-;3;4;4;9;5;4;1;2;1;-;6;1;-;4;7;1;1;2;4;16;3;-;-;-;1;-;-;-;-;-;1;-;9;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;92
"500270 Campo Grande";20;15;15;1;3;1;1;-;1;6;2;-;3;-;1;5;16;1;3;3;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;3;1;-;112
"510340 Cuiabá";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"520870 Goiânia";3;-;133;187;239;157;227;-;-;1;2;-;-;-;3;4;2;1;-;-;-;-;2;-;2;1;1;1;3;1;-;-;-;-;-;-;-;-;-;46;69;59;48;45;46;58;41;24;74;126;83;77;71;90;101;151;121;125;80;62;108;69;96;70;81;82;46;126;74;77;77;66;82;48;50;134;91;96;86;83;-;390;100;196;4895
