 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.apresentada por Capital e Ano/mês processamento
Procedimento: 0301060061 ATENDIMENTO DE URGENCIA EM ATENCAO ESPECIALIZADA
Período:2018-2024
"Capital";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"Total"
"240810 Natal";8824;14783;11000;19290;10518;8665;13374;11880;10333;10757;16641;12440;5420;10746;17117;12027;14778;11330;13506;21328;16485;13248;9836;15549;10900;23209;16443;24261;5025;23938;10621;35271;12933;22818;19154;15466;14589;22731;13164;15300;25951;27556;11267;17486;5870;4715;10543;10169;16951;10446;11278;12374;12575;11153;19946;11489;21469;21024;17138;17286;18501;15768;13494;14301;13242;13483;21349;21319;15577;15896;969;6059;11280;20997;17080;18418;15161;19551;12066;13535;13126;6759;14334;9393;1234042
"250750 João Pessoa";17392;18203;19952;20689;17064;13627;16130;17470;15661;17536;17572;16044;16429;16815;18365;25020;30628;22590;20414;20487;19403;20775;19215;17819;21306;16095;13275;8651;10900;6574;12295;14495;12920;12232;11418;13781;19081;14520;15346;15499;15504;14123;13378;13614;13437;14756;14588;13658;16005;17260;22236;19243;23585;20850;20557;21485;14824;17687;23157;15971;16229;16134;25003;22496;24255;21317;22003;23390;22362;25567;23649;22464;27322;27251;25832;24550;23785;24344;35538;38660;34339;29730;33853;25955;1635634
"261160 Recife";68919;51096;57445;89159;47666;54155;63691;58092;66719;83529;46435;67779;65849;50393;56085;54439;60076;53357;55619;54573;57391;57258;54181;49922;48226;41284;41291;20137;16346;19899;32897;32583;31505;38305;34559;28339;34335;35927;32408;32442;37253;32889;38663;34441;40411;36865;41419;37202;34995;32474;38543;53139;51214;45544;43998;47882;59266;53178;49219;46562;43507;38471;49392;47597;45023;41185;47675;42177;34485;32844;29704;31355;34492;31992;41970;30642;42303;35649;41063;39527;38884;42945;41893;36870;3741113
"270430 Maceió";32561;30610;33510;35131;41899;31841;33844;32591;32028;30315;32105;30931;36928;30730;33641;36242;39779;37585;38164;40400;39063;37663;28064;52207;47262;39142;42604;27338;27943;23105;26902;27821;36459;15926;16026;17247;16694;16829;10328;18983;17295;13195;15086;15005;17776;15219;14232;11568;12026;9512;9755;8352;8229;8908;14517;7765;8900;4456;7312;6194;7674;6662;7957;8286;9593;8421;9783;8796;8286;11282;7911;8749;8849;9910;10552;10819;10133;9881;10481;9113;8336;4153;5069;4989;1689428
"280030 Aracaju";28510;26716;29922;24483;32527;25248;28031;29010;26020;32365;33301;26653;12172;10017;10119;13060;12694;4889;7550;11530;12032;12911;11909;10813;9985;10753;9267;4714;4789;4883;5296;6235;7236;8005;7586;17774;15330;6443;843;4161;7361;4379;4651;4868;843;873;2086;2247;1693;4982;4342;2894;3376;3220;3244;3347;1105;4137;3740;3052;3139;3746;3606;3633;4711;3806;4827;4989;4538;5866;6098;6178;7316;6381;7700;6426;7061;6635;7912;7118;11059;9155;11766;11412;817300
"292740 Salvador";30487;28082;35641;36674;40879;30841;33827;28255;29370;28773;30474;22364;24759;23205;22325;36415;38320;33810;32019;33336;34842;32607;162317;32282;29297;31287;26500;15640;13862;12632;14247;16182;17430;18798;18148;18255;21210;16401;13218;12963;13534;13857;14832;15302;11571;12744;12564;11838;12605;13904;14625;16204;21010;17939;17857;17716;18308;20834;20856;19609;20790;20715;21631;19906;23177;22002;22606;19838;20974;22651;21745;21005;22853;21581;21921;21828;18935;21646;22965;23889;22603;21807;23139;19980;2015870
"310620 Belo Horizonte";23052;24028;23687;26904;24552;19747;19228;22608;22955;23953;25398;25477;25226;25927;26232;31143;31534;30393;28512;30610;28400;28048;29636;26724;27615;27585;21081;13713;15356;12940;14830;16815;16271;25350;25922;26309;26588;17605;20014;16522;26067;25853;18597;27965;19622;29930;30533;33233;33188;30220;31168;30189;31519;31641;30963;28920;29881;34272;35154;36143;35012;33094;35385;38489;30866;38843;39724;39705;38310;41333;37508;36348;38123;45941;48961;45078;51054;40694;41219;41255;40778;40800;36063;37166;2495297
"320530 Vitória";19274;16175;16877;16521;20227;19773;19128;18807;19779;18745;19757;17043;27031;18457;19934;21755;22617;20565;17436;20132;18983;18243;18212;16697;16658;14108;14619;8368;8803;7603;6739;7719;7931;8143;15258;11384;10590;9160;9708;7967;8650;10050;11166;11383;10945;10812;13817;6331;15246;4603;13483;11111;9916;9704;10344;10614;10449;12310;12077;9681;10449;10731;13065;9336;11327;21876;7618;10824;10678;11360;12660;12058;10395;11247;14436;13266;11471;12033;11456;10989;11405;11435;11084;12320;1123137
"330455 Rio de Janeiro";45273;37585;54558;61789;61892;51843;62436;48215;40434;49168;56156;36222;38813;31770;41557;41256;48029;45093;40848;34917;47181;45879;40554;40769;49192;34215;37584;26743;24115;23317;28785;33803;34441;29238;28065;25882;30315;27876;26075;25172;25653;23910;30451;24266;28866;22556;21296;28196;22225;27312;33221;29890;30768;38936;32289;29607;37244;41693;40201;41543;40025;38585;49029;28675;54096;66993;49887;45154;50406;47519;47691;43796;43337;62873;57741;54607;52594;56269;52207;55843;56604;57667;56359;53242;3418377
"355030 São Paulo";409904;422090;459407;486131;493780;477346;427893;434599;497647;492438;465266;438362;443649;447491;475437;576395;561057;528760;466305;490701;494861;512926;479750;478352;443740;481485;421982;204746;189262;216341;238926;248481;268460;280034;299028;290509;295098;267878;253883;229339;237137;255452;250833;265964;302096;307044;303336;329249;308697;265672;312540;327087;333951;325853;315160;294607;289053;318814;322450;271503;289301;338920;346069;350506;345357;342700;277849;280040;273238;323762;277796;269800;283584;279681;352787;377605;342005;311378;302934;314836;301311;282923;313369;268320;29472308
"410690 Curitiba";18153;16820;19808;20666;20442;19211;19161;19198;19152;20932;20978;20040;19680;17898;22045;25383;24612;17049;15831;17507;16333;18123;16346;15109;16305;14967;16662;10904;11480;11781;11572;11902;12176;12921;12938;11286;13415;12616;11936;11428;12488;10571;11771;12410;12552;13354;13518;13144;13859;12555;13448;12582;11678;12528;12100;12509;11811;13124;11969;11692;11627;10809;13139;12295;13062;12309;11933;12285;11970;12431;12445;11961;11782;11135;12485;12398;11836;11713;11015;11848;12075;11841;11659;11010;1201492
"420540 Florianópolis";21749;17401;15231;23070;20336;20941;20545;21522;22225;23270;23293;23631;25489;21821;25155;22340;22541;20878;12624;23897;23029;20744;30236;23691;22281;25351;15295;7369;7540;8796;8936;9435;10364;10324;16941;13068;12011;9368;13308;9916;8223;10675;8991;13134;14914;10286;12977;16654;17602;9801;17215;16524;16497;14902;18136;30771;17096;21097;16444;16065;10653;20640;16497;31838;14416;18429;15331;17114;18264;19551;18041;18747;22752;17884;18477;14020;15563;15559;15446;16901;17212;19232;18953;8602;1454088
"431490 Porto Alegre";46095;29621;46501;38819;44461;44424;46378;47822;47463;40428;46865;51800;45670;27778;43626;49256;40244;39133;46616;40692;44923;41278;49086;49289;49304;51449;62737;28485;35142;33969;29132;34376;27781;33718;33454;35067;35423;31910;27375;25945;28077;27404;40168;30248;54110;57513;40607;37587;38676;53310;56023;44017;51389;42814;41048;46307;45116;47862;40444;58165;46335;41301;54533;60664;54732;48909;49014;55383;51465;55984;58167;58315;56258;56315;83753;62645;54091;54639;57783;60283;61031;77131;64707;59064;3886922
"500270 Campo Grande";5750;4552;4941;4894;4961;5676;4736;5052;4624;4862;4889;4997;6616;4859;4717;4606;5544;4529;5487;5927;5381;6023;5899;5371;6034;5419;6353;5087;5028;4641;4966;4746;5775;4665;4913;4893;6025;4590;5458;5284;6472;5610;5477;6209;7521;7249;7071;7063;6098;6024;7410;7134;7361;6758;7784;7872;7651;7680;8279;12154;9359;7595;9535;8903;9005;7735;8030;7453;6836;8239;7213;7204;7640;7690;7083;7249;6553;6457;7308;8215;12069;13910;11019;21085;567032
"510340 Cuiabá";19490;19885;17982;19210;18632;24115;29813;76597;27460;28713;26514;28236;19772;17770;33068;33580;46970;33966;25847;27525;24579;28154;15201;22879;11976;10580;2167;4486;5973;12806;1438;2114;2652;5062;3753;3945;4083;5804;1464;6218;5688;4528;12948;10075;2510;2292;1741;1995;1654;1520;2689;2450;2900;2975;2268;1443;1943;913;1090;1722;1039;2066;2002;1993;726;9157;2047;906;1437;2732;1557;899;2012;523;1459;1180;953;1479;575;1190;993;1352;1123;678;855901
"520870 Goiânia";9665;9873;11720;10044;9022;7806;8237;14923;12850;9312;13248;19347;14981;14618;15356;27489;11102;21639;14355;14042;14130;20309;22391;11523;12565;10741;10207;8179;8619;8341;11601;10175;10440;9370;8649;10322;15154;9956;10534;10055;10626;9735;11140;9078;11200;10141;14038;14995;13728;12447;13383;13119;13443;13041;12317;13818;13561;14294;14403;14216;15541;14295;15079;14183;14172;13879;13765;14052;14078;14143;13512;12923;14032;13243;15175;11894;13311;12221;12296;10730;15559;12106;11031;10672;1077505
"530010 Brasília";140393;89923;161353;139405;114353;141426;118947;141997;146387;130583;151817;126248;125551;135908;133257;135084;132824;161224;121541;113326;133109;116366;114949;96701;82960;120940;81441;68802;75075;76250;79610;92085;82180;81892;87786;82145;106570;87427;84252;66887;73223;85594;82095;81412;99645;99916;99148;102991;94652;85347;100867;94239;119543;102258;87895;103085;109605;111140;93794;92829;100629;95056;113654;93457;108979;93813;95949;104867;107082;103251;98239;98578;99522;111047;116087;115804;94356;89427;91747;99701;90957;98513;92933;89235;8801135
"Total";1352576;1243536;1454061;1568483;1487528;1451054;1412419;1468671;1501704;1509578;1406092;1379022;1385635;1361017;1417198;1591258;1586061;1570497;1385001;1448585;1472499;1473894;1566034;1409458;1366508;1441124;1175544;815961;669801;783008;849603;918089;902296;952925;979903;1006678;998246;905655;863951;850579;927636;1044884;901457;927670;984767;1007164;973808;1022859;1007721;894732;1018662;1067586;1140159;1077110;1053559;1053584;1056843;1072610;1067126;1023232;1058593;1052037;1209131;1126602;1221341;1159154;1069468;1133948;1041899;1174003;1101427;1140947;1191475;1163399;1325022;1321158;1260284;1201596;1189701;1204191;1195299;1210911;1194726;1113421;98764634
 Fonte: Ministério da Saúde - Sistema de Informações Ambulatoriais do SUS (SIA/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
